ds,y
2026-01-04,1.072
2026-01-05,1.736
2026-01-06,1.535
2026-01-07,1.415
2026-01-08,1.555
2026-01-09,1.327
2026-01-10,1.641
2026-01-11,1.266
2026-01-12,1.308
2026-01-13,1.677
2026-01-14,1.617
2026-01-15,1.478
2026-01-16,1.808
2026-01-17,1.893
2026-01-18,1.663
2026-01-19,1.927
2026-01-20,1.706
2026-01-21,1.732
2026-01-22,1.786
2026-01-23,1.96
2026-01-24,1.91
2026-01-25,1.848
2026-01-26,1.904
2026-01-27,1.699
2026-01-28,2.059
2026-01-29,2.0
2026-01-30,1.828
2026-01-31,1.944
2026-02-01,1.852
2026-02-02,1.485
2026-02-03,1.969
2026-02-04,1.54
2026-02-05,1.72
2026-02-06,1.775
2026-02-07,1.74
2026-02-08,2.216
2026-02-09,2.421
2026-02-10,1.793
2026-02-11,1.941
2026-02-12,1.816
2026-02-13,2.133
2026-02-14,1.718
2026-02-15,2.164
2026-02-16,2.057
2026-02-17,2.249
2026-02-18,2.386
2026-02-19,2.256
2026-02-20,1.611
2026-02-21,2.421
2026-02-22,2.17
2026-02-23,2.115
2026-02-24,2.185
2026-02-25,2.626
2026-02-26,2.069
2026-02-27,2.459
2026-02-28,2.455
2026-03-01,2.175
2026-03-02,2.234
2026-03-03,1.96
2026-03-04,2.074
2026-03-05,2.235
2026-03-06,2.254
2026-03-07,2.3
2026-03-08,2.067
2026-03-09,2.118
2026-03-10,2.277
2026-03-11,2.712
2026-03-12,2.154
2026-03-13,2.115
2026-03-14,2.299
2026-03-15,1.869
2026-03-16,2.356
2026-03-17,2.64
2026-03-18,1.864
2026-03-19,2.225
2026-03-20,2.065
2026-03-21,2.202
2026-03-22,2.175
2026-03-23,1.994
2026-03-24,2.181
2026-03-25,2.572
2026-03-26,2.171
2026-03-27,2.131
2026-03-28,2.627
2026-03-29,2.392
2026-03-30,2.252
2026-03-31,2.302
2026-04-01,2.716
2026-04-02,2.079
2026-04-03,1.999
