ds,y
2026-01-04,1.67
2026-01-05,1.289
2026-01-06,1.756
2026-01-07,1.676
2026-01-08,1.462
2026-01-09,1.781
2026-01-10,1.868
2026-01-11,1.463
2026-01-12,1.413
2026-01-13,1.416
2026-01-14,1.521
2026-01-15,1.669
2026-01-16,1.888
2026-01-17,1.602
2026-01-18,1.475
2026-01-19,1.717
2026-01-20,1.965
2026-01-21,1.665
2026-01-22,1.873
2026-01-23,1.709
2026-01-24,1.928
2026-01-25,1.594
2026-01-26,1.89
2026-01-27,1.479
2026-01-28,1.574
2026-01-29,1.946
2026-01-30,1.683
2026-01-31,2.112
2026-02-01,1.633
2026-02-02,1.655
2026-02-03,1.981
2026-02-04,1.76
2026-02-05,2.145
2026-02-06,2.249
2026-02-07,1.957
2026-02-08,1.953
2026-02-09,2.059
2026-02-10,2.033
2026-02-11,2.304
2026-02-12,2.057
2026-02-13,1.76
2026-02-14,2.123
2026-02-15,1.96
2026-02-16,2.218
2026-02-17,1.915
2026-02-18,2.074
2026-02-19,2.054
2026-02-20,1.689
2026-02-21,2.019
2026-02-22,1.618
2026-02-23,2.02
2026-02-24,1.993
2026-02-25,2.18
2026-02-26,2.287
2026-02-27,2.198
2026-02-28,2.424
2026-03-01,1.885
2026-03-02,2.222
2026-03-03,2.183
2026-03-04,2.376
2026-03-05,2.195
2026-03-06,2.466
2026-03-07,1.98
2026-03-08,2.203
2026-03-09,2.323
2026-03-10,2.235
2026-03-11,2.152
2026-03-12,2.232
2026-03-13,2.291
2026-03-14,2.071
2026-03-15,2.553
2026-03-16,2.504
2026-03-17,2.232
2026-03-18,2.3
2026-03-19,2.518
2026-03-20,2.29
2026-03-21,2.239
2026-03-22,2.295
2026-03-23,2.106
2026-03-24,2.331
2026-03-25,1.965
2026-03-26,1.899
2026-03-27,2.544
2026-03-28,2.119
2026-03-29,2.41
2026-03-30,2.458
2026-03-31,2.677
2026-04-01,2.122
2026-04-02,2.168
2026-04-03,2.311
