ds,y
2026-01-04,1.551
2026-01-05,1.332
2026-01-06,1.452
2026-01-07,1.434
2026-01-08,1.727
2026-01-09,1.486
2026-01-10,1.682
2026-01-11,1.998
2026-01-12,1.862
2026-01-13,1.536
2026-01-14,1.568
2026-01-15,1.742
2026-01-16,1.33
2026-01-17,1.505
2026-01-18,1.79
2026-01-19,1.679
2026-01-20,2.105
2026-01-21,1.607
2026-01-22,1.535
2026-01-23,1.579
2026-01-24,1.773
2026-01-25,1.751
2026-01-26,2.242
2026-01-27,1.729
2026-01-28,1.832
2026-01-29,2.011
2026-01-30,1.825
2026-01-31,1.97
2026-02-01,1.95
2026-02-02,2.05
2026-02-03,1.613
2026-02-04,2.069
2026-02-05,1.891
2026-02-06,1.968
2026-02-07,1.865
2026-02-08,2.285
2026-02-09,1.555
2026-02-10,2.256
2026-02-11,1.851
2026-02-12,2.303
2026-02-13,2.253
2026-02-14,2.222
2026-02-15,2.195
2026-02-16,2.493
2026-02-17,1.931
2026-02-18,1.943
2026-02-19,1.938
2026-02-20,2.264
2026-02-21,1.829
2026-02-22,2.3
2026-02-23,2.049
2026-02-24,1.902
2026-02-25,1.909
2026-02-26,1.973
2026-02-27,1.844
2026-02-28,2.252
2026-03-01,2.328
2026-03-02,2.357
2026-03-03,2.047
2026-03-04,2.241
2026-03-05,2.188
2026-03-06,2.332
2026-03-07,2.29
2026-03-08,2.225
2026-03-09,1.842
2026-03-10,2.186
2026-03-11,2.248
2026-03-12,2.092
2026-03-13,2.183
2026-03-14,1.982
2026-03-15,2.183
2026-03-16,2.353
2026-03-17,2.674
2026-03-18,2.458
2026-03-19,3.06
2026-03-20,3.277
2026-03-21,3.854
2026-03-22,4.231
2026-03-23,4.846
2026-03-24,5.277
2026-03-25,5.118
2026-03-26,4.945
2026-03-27,5.087
2026-03-28,4.768
2026-03-29,4.917
2026-03-30,4.169
2026-03-31,4.733
2026-04-01,4.134
2026-04-02,2.081
2026-04-03,2.29
