ds,y
2026-01-04,27.995
2026-01-05,27.832
2026-01-06,27.971
2026-01-07,28.578
2026-01-08,27.603
2026-01-09,28.573
2026-01-10,27.647
2026-01-11,28.397
2026-01-12,28.086
2026-01-13,29.023
2026-01-14,28.47
2026-01-15,28.643
2026-01-16,28.498
2026-01-17,28.63
2026-01-18,28.713
2026-01-19,28.183
2026-01-20,28.076
2026-01-21,28.383
2026-01-22,28.752
2026-01-23,28.657
2026-01-24,28.424
2026-01-25,28.803
2026-01-26,28.348
2026-01-27,29.264
2026-01-28,28.685
2026-01-29,29.284
2026-01-30,28.688
2026-01-31,28.71
2026-02-01,28.202
2026-02-02,29.345
2026-02-03,29.508
2026-02-04,29.033
2026-02-05,29.621
2026-02-06,29.531
2026-02-07,28.813
2026-02-08,28.946
2026-02-09,29.824
2026-02-10,29.574
2026-02-11,29.758
2026-02-12,29.988
2026-02-13,29.69
2026-02-14,29.244
2026-02-15,30.192
2026-02-16,30.605
2026-02-17,31.32
2026-02-18,31.881
2026-02-19,31.112
2026-02-20,31.145
2026-02-21,31.045
2026-02-22,30.196
2026-02-23,29.669
2026-02-24,29.933
2026-02-25,29.584
2026-02-26,30.346
2026-02-27,29.486
2026-02-28,29.511
2026-03-01,30.504
2026-03-02,30.321
2026-03-03,30.247
2026-03-04,30.091
2026-03-05,30.454
2026-03-06,30.348
2026-03-07,30.197
2026-03-08,30.54
2026-03-09,29.996
2026-03-10,30.406
2026-03-11,30.477
2026-03-12,30.198
2026-03-13,30.271
2026-03-14,30.84
2026-03-15,30.553
2026-03-16,29.948
2026-03-17,30.733
2026-03-18,30.851
2026-03-19,30.486
2026-03-20,30.013
2026-03-21,30.375
2026-03-22,30.552
2026-03-23,31.453
2026-03-24,30.302
2026-03-25,30.616
2026-03-26,30.333
2026-03-27,30.634
2026-03-28,29.932
2026-03-29,30.407
2026-03-30,30.389
2026-03-31,31.21
2026-04-01,30.114
2026-04-02,29.76
2026-04-03,30.211
