ds,y
2026-01-04,4.4
2026-01-05,6.079
2026-01-06,6.049
2026-01-07,3.793
2026-01-08,3.929
2026-01-09,3.757
2026-01-10,6.642
2026-01-11,5.25
2026-01-12,5.164
2026-01-13,5.676
2026-01-14,4.486
2026-01-15,5.138
2026-01-16,4.361
2026-01-17,5.817
2026-01-18,4.597
2026-01-19,5.672
2026-01-20,6.256
2026-01-21,5.339
2026-01-22,6.118
2026-01-23,4.514
2026-01-24,4.554
2026-01-25,5.706
2026-01-26,5.384
2026-01-27,4.449
2026-01-28,5.216
2026-01-29,6.587
2026-01-30,5.085
2026-01-31,5.692
2026-02-01,5.382
2026-02-02,5.873
2026-02-03,6.02
2026-02-04,6.236
2026-02-05,6.201
2026-02-06,6.467
2026-02-07,6.17
2026-02-08,6.007
2026-02-09,5.46
2026-02-10,3.433
2026-02-11,5.597
2026-02-12,5.297
2026-02-13,5.391
2026-02-14,4.583
2026-02-15,6.593
2026-02-16,4.521
2026-02-17,6.365
2026-02-18,5.861
2026-02-19,6.413
2026-02-20,6.782
2026-02-21,7.71
2026-02-22,7.218
2026-02-23,6.984
2026-02-24,7.31
2026-02-25,6.21
2026-02-26,6.259
2026-02-27,5.818
2026-02-28,6.458
2026-03-01,7.123
2026-03-02,6.231
2026-03-03,6.26
2026-03-04,5.764
2026-03-05,7.564
2026-03-06,6.316
2026-03-07,6.763
2026-03-08,6.167
2026-03-09,6.709
2026-03-10,4.894
2026-03-11,6.467
2026-03-12,5.878
2026-03-13,7.428
2026-03-14,7.012
2026-03-15,6.177
2026-03-16,5.831
2026-03-17,5.664
2026-03-18,6.876
2026-03-19,5.88
2026-03-20,7.803
2026-03-21,5.607
2026-03-22,5.926
2026-03-23,5.652
2026-03-24,5.3
2026-03-25,6.784
2026-03-26,5.828
2026-03-27,7.407
2026-03-28,6.51
2026-03-29,4.971
2026-03-30,5.799
2026-03-31,6.448
2026-04-01,7.481
2026-04-02,6.071
2026-04-03,6.23
