ds,y
2026-01-04,3.518
2026-01-05,4.161
2026-01-06,5.114
2026-01-07,3.994
2026-01-08,5.604
2026-01-09,5.716
2026-01-10,3.978
2026-01-11,3.84
2026-01-12,5.672
2026-01-13,4.689
2026-01-14,5.799
2026-01-15,5.431
2026-01-16,4.382
2026-01-17,4.677
2026-01-18,4.635
2026-01-19,4.96
2026-01-20,5.109
2026-01-21,5.144
2026-01-22,4.833
2026-01-23,7.489
2026-01-24,4.255
2026-01-25,5.345
2026-01-26,5.479
2026-01-27,6.503
2026-01-28,6.102
2026-01-29,4.91
2026-01-30,5.551
2026-01-31,6.745
2026-02-01,5.37
2026-02-02,4.411
2026-02-03,5.632
2026-02-04,4.594
2026-02-05,5.307
2026-02-06,5.428
2026-02-07,5.396
2026-02-08,5.49
2026-02-09,5.987
2026-02-10,6.319
2026-02-11,6.401
2026-02-12,6.23
2026-02-13,6.467
2026-02-14,6.895
2026-02-15,6.255
2026-02-16,6.665
2026-02-17,6.127
2026-02-18,5.712
2026-02-19,5.76
2026-02-20,7.519
2026-02-21,6.954
2026-02-22,6.612
2026-02-23,5.753
2026-02-24,5.801
2026-02-25,6.781
2026-02-26,6.769
2026-02-27,5.369
2026-02-28,4.68
2026-03-01,5.442
2026-03-02,6.666
2026-03-03,5.027
2026-03-04,7.55
2026-03-05,6.724
2026-03-06,6.971
2026-03-07,6.239
2026-03-08,5.947
2026-03-09,4.902
2026-03-10,6.163
2026-03-11,6.088
2026-03-12,6.152
2026-03-13,6.895
2026-03-14,5.61
2026-03-15,6.47
2026-03-16,6.422
2026-03-17,5.871
2026-03-18,5.237
2026-03-19,6.993
2026-03-20,7.181
2026-03-21,5.833
2026-03-22,5.692
2026-03-23,5.941
2026-03-24,6.15
2026-03-25,6.927
2026-03-26,6.518
2026-03-27,5.761
2026-03-28,6.501
2026-03-29,6.543
2026-03-30,8.209
2026-03-31,7.402
2026-04-01,5.256
2026-04-02,6.574
2026-04-03,6.587
