ds,y
2026-01-04,4.895
2026-01-05,4.657
2026-01-06,5.582
2026-01-07,4.014
2026-01-08,4.669
2026-01-09,4.543
2026-01-10,4.328
2026-01-11,4.997
2026-01-12,5.173
2026-01-13,3.74
2026-01-14,5.651
2026-01-15,6.964
2026-01-16,4.373
2026-01-17,5.662
2026-01-18,6.171
2026-01-19,5.039
2026-01-20,4.448
2026-01-21,5.889
2026-01-22,4.118
2026-01-23,5.787
2026-01-24,4.624
2026-01-25,4.548
2026-01-26,5.783
2026-01-27,5.326
2026-01-28,5.597
2026-01-29,4.628
2026-01-30,4.809
2026-01-31,5.207
2026-02-01,6.048
2026-02-02,5.049
2026-02-03,4.937
2026-02-04,5.903
2026-02-05,4.2
2026-02-06,4.942
2026-02-07,5.959
2026-02-08,5.39
2026-02-09,3.79
2026-02-10,5.604
2026-02-11,7.554
2026-02-12,4.421
2026-02-13,5.873
2026-02-14,6.12
2026-02-15,6.412
2026-02-16,6.918
2026-02-17,7.045
2026-02-18,6.133
2026-02-19,5.186
2026-02-20,5.663
2026-02-21,5.475
2026-02-22,4.545
2026-02-23,6.164
2026-02-24,5.08
2026-02-25,4.812
2026-02-26,6.044
2026-02-27,5.421
2026-02-28,5.517
2026-03-01,6.451
2026-03-02,7.227
2026-03-03,6.429
2026-03-04,5.474
2026-03-05,5.393
2026-03-06,8.587
2026-03-07,6.986
2026-03-08,8.161
2026-03-09,7.72
2026-03-10,5.95
2026-03-11,5.444
2026-03-12,5.423
2026-03-13,6.037
2026-03-14,7.274
2026-03-15,6.665
2026-03-16,6.614
2026-03-17,7.139
2026-03-18,6.256
2026-03-19,6.014
2026-03-20,6.42
2026-03-21,6.979
2026-03-22,5.267
2026-03-23,7.609
2026-03-24,5.343
2026-03-25,5.965
2026-03-26,6.654
2026-03-27,6.885
2026-03-28,6.478
2026-03-29,5.095
2026-03-30,5.383
2026-03-31,6.809
2026-04-01,4.821
2026-04-02,5.079
2026-04-03,8.294
