ds,y
2026-01-04,28.336
2026-01-05,27.5
2026-01-06,28.601
2026-01-07,28.358
2026-01-08,28.404
2026-01-09,28.204
2026-01-10,28.105
2026-01-11,28.177
2026-01-12,28.898
2026-01-13,29.072
2026-01-14,28.85
2026-01-15,28.245
2026-01-16,28.691
2026-01-17,29.355
2026-01-18,28.692
2026-01-19,29.042
2026-01-20,28.591
2026-01-21,28.481
2026-01-22,28.505
2026-01-23,28.77
2026-01-24,28.803
2026-01-25,28.899
2026-01-26,29.385
2026-01-27,28.8
2026-01-28,28.884
2026-01-29,29.322
2026-01-30,28.837
2026-01-31,28.962
2026-02-01,28.817
2026-02-02,29.441
2026-02-03,29.327
2026-02-04,29.598
2026-02-05,29.304
2026-02-06,29.278
2026-02-07,29.614
2026-02-08,28.771
2026-02-09,29.299
2026-02-10,29.981
2026-02-11,29.345
2026-02-12,29.431
2026-02-13,30.077
2026-02-14,29.263
2026-02-15,29.989
2026-02-16,29.46
2026-02-17,29.958
2026-02-18,29.779
2026-02-19,29.371
2026-02-20,29.304
2026-02-21,29.455
2026-02-22,29.345
2026-02-23,29.874
2026-02-24,30.134
2026-02-25,29.389
2026-02-26,30.147
2026-02-27,29.725
2026-02-28,30.385
2026-03-01,29.598
2026-03-02,29.763
2026-03-03,29.57
2026-03-04,29.926
2026-03-05,30.022
2026-03-06,30.501
2026-03-07,30.74
2026-03-08,30.112
2026-03-09,30.434
2026-03-10,30.361
2026-03-11,30.59
2026-03-12,30.458
2026-03-13,30.56
2026-03-14,30.875
2026-03-15,30.577
2026-03-16,30.641
2026-03-17,29.64
2026-03-18,31.119
2026-03-19,30.225
2026-03-20,29.996
2026-03-21,30.532
2026-03-22,30.257
2026-03-23,30.012
2026-03-24,30.029
2026-03-25,30.285
2026-03-26,29.981
2026-03-27,30.246
2026-03-28,30.91
2026-03-29,30.986
2026-03-30,30.521
2026-03-31,30.441
2026-04-01,30.488
2026-04-02,31.19
2026-04-03,30.583
